id,difficulty,question,gold_sql,gold_result_json,n_rows,order_sensitive
1,easy,How many customers are there in total?,SELECT COUNT(*) AS n FROM customers,"{""columns"": [""n""], ""rows"": [[2000]]}",1,FALSE
2,easy,How many customers are currently active?,SELECT COUNT(*) AS n FROM customers WHERE status = 'active',"{""columns"": [""n""], ""rows"": [[1696]]}",1,FALSE
3,easy,How many support tickets have the status 'open'?,SELECT COUNT(*) AS n FROM tickets WHERE status = 'open',"{""columns"": [""n""], ""rows"": [[455]]}",1,FALSE
4,easy,What is the monthly price of the Unlimited Max plan?,SELECT monthly_price FROM plans WHERE plan_name = 'Unlimited Max',"{""columns"": [""monthly_price""], ""rows"": [[39.99]]}",1,FALSE
5,easy,How many customers are in the Ile-de-France region?,SELECT COUNT(*) AS n FROM customers WHERE region = 'Ile-de-France',"{""columns"": [""n""], ""rows"": [[536]]}",1,FALSE
6,easy,How many postpaid plans does HexaMobile offer?,SELECT COUNT(*) AS n FROM plans WHERE contract_type = 'postpaid',"{""columns"": [""n""], ""rows"": [[6]]}",1,FALSE
7,easy,How many customers have churned?,SELECT COUNT(*) AS n FROM customers WHERE status = 'churned',"{""columns"": [""n""], ""rows"": [[304]]}",1,FALSE
8,easy,What is the highest monthly price among all plans?,SELECT MAX(monthly_price) AS max_price FROM plans,"{""columns"": [""max_price""], ""rows"": [[49.99]]}",1,FALSE
9,medium,How many customers are on each plan? Give the plan name and the customer count.,"SELECT p.plan_name, COUNT(*) AS n FROM customers c JOIN plans p ON c.plan_id = p.plan_id GROUP BY p.plan_name","{""columns"": [""plan_name"", ""n""], ""rows"": [[""Data SIM 30GB"", 140], [""Essential 5GB"", 315], [""Family 200GB"", 173], [""Prepaid Mini"", 123], [""Prepaid Plus"", 186], [""Smart 100GB"", 355], [""Smart 50GB"", 455], [""Unlimited Max"", 253]]}",8,FALSE
10,medium,Which region has the most customers? Give the region and the count.,"SELECT region, COUNT(*) AS n FROM customers GROUP BY region ORDER BY n DESC LIMIT 1","{""columns"": [""region"", ""n""], ""rows"": [[""Ile-de-France"", 536]]}",1,FALSE
11,medium,What is the total revenue from bills that were paid?,SELECT SUM(amount) AS revenue FROM bills WHERE status = 'paid',"{""columns"": [""revenue""], ""rows"": [[437548.91]]}",1,FALSE
12,medium,What is the average resolution time in hours for resolved tickets?,SELECT AVG(resolution_hours) AS avg_hours FROM tickets WHERE status = 'resolved',"{""columns"": [""avg_hours""], ""rows"": [[48.63758960573477]]}",1,FALSE
13,medium,"List the top 3 regions by number of customers, most first. Give the region and the count.","SELECT region, COUNT(*) AS n FROM customers GROUP BY region ORDER BY n DESC LIMIT 3","{""columns"": [""region"", ""n""], ""rows"": [[""Ile-de-France"", 536], [""Auvergne-Rhone-Alpes"", 245], [""Provence-Alpes-Cote d'Azur"", 229]]}",3,TRUE
14,medium,How many tickets are there in each category? Give the category and the count.,"SELECT category, COUNT(*) AS n FROM tickets GROUP BY category","{""columns"": [""category"", ""n""], ""rows"": [[""billing"", 887], [""device"", 571], [""network"", 831], [""plan_change"", 353], [""roaming"", 358]]}",5,FALSE
15,medium,What is the average bill amount across all bills?,SELECT AVG(amount) AS avg_amount FROM bills,"{""columns"": [""avg_amount""], ""rows"": [[25.78798189480256]]}",1,FALSE
16,medium,Which plan generates the most total revenue from paid bills? Give the plan name and the revenue.,"SELECT p.plan_name, SUM(b.amount) AS revenue FROM bills b JOIN customers c ON b.customer_id = c.customer_id JOIN plans p ON c.plan_id = p.plan_id WHERE b.status = 'paid' GROUP BY p.plan_name ORDER BY revenue DESC LIMIT 1","{""columns"": [""plan_name"", ""revenue""], ""rows"": [[""Smart 50GB"", 92284.06]]}",1,FALSE
17,hard,Which month had the highest roaming usage rate (the percentage of usage records with roaming used)? Give the month and the percentage.,"SELECT month, 100.0 * SUM(roaming_used) / COUNT(*) AS pct FROM usage GROUP BY month ORDER BY pct DESC LIMIT 1","{""columns"": [""month"", ""pct""], ""rows"": [[""2024-07"", 28.92613283674736]]}",1,FALSE
18,hard,"What is the churn rate, i.e. the percentage of all customers whose status is churned? Give a single number.",SELECT 100.0 * SUM(CASE WHEN status = 'churned' THEN 1 ELSE 0 END) / COUNT(*) AS churn_pct FROM customers,"{""columns"": [""churn_pct""], ""rows"": [[15.2]]}",1,FALSE
